Word,Meaning,Exam_Style_Example,Vocaloid_Style_Phrase
important_6,重要な,English is an important subject.,The most important word I forgot was 'goodbye'.
join_6,参加する,I joined the basketball team.,Won’t you join me in this fading song?
hope_6,希望する,I hope everything goes well.,My hope dances on broken melodies.
agree_7,同意する,I agree with your opinion.,I always agree with the silence between us.
beautiful_7,美しい,She is a beautiful woman.,That beautiful lie still haunts my dreams.
create_7,創造する,Artists create something new.,Let’s create a future no one else imagined.
decide_7,決める,I decided to study abroad.,I decide to disappear before the dawn.
feel_7,感じる,I feel nervous before exams.,I feel your shadow even now.
give_7,与える,He gave me a present.,I can't give you back what I stole.
easy_7,簡単な,This question is very easy.,"Love isn't easy, but I still tried."
important_7,重要な,English is an important subject.,The most important word I forgot was 'goodbye'.
join_7,参加する,I joined the basketball team.,Won’t you join me in this fading song?
hope_7,希望する,I hope everything goes well.,My hope dances on broken melodies.
agree_8,同意する,I agree with your opinion.,I always agree with the silence between us.
beautiful_8,美しい,She is a beautiful woman.,That beautiful lie still haunts my dreams.
create_8,創造する,Artists create something new.,Let’s create a future no one else imagined.
decide_8,決める,I decided to study abroad.,I decide to disappear before the dawn.
feel_8,感じる,I feel nervous before exams.,I feel your shadow even now.
give_8,与える,He gave me a present.,I can't give you back what I stole.
easy_8,簡単な,This question is very easy.,"Love isn't easy, but I still tried."
important_8,重要な,English is an important subject.,The most important word I forgot was 'goodbye'.
join_8,参加する,I joined the basketball team.,Won’t you join me in this fading song?
hope_8,希望する,I hope everything goes well.,My hope dances on broken melodies.
agree_9,同意する,I agree with your opinion.,I always agree with the silence between us.
beautiful_9,美しい,She is a beautiful woman.,That beautiful lie still haunts my dreams.
create_9,創造する,Artists create something new.,Let’s create a future no one else imagined.
decide_9,決める,I decided to study abroad.,I decide to disappear before the dawn.
feel_9,感じる,I feel nervous before exams.,I feel your shadow even now.
give_9,与える,He gave me a present.,I can't give you back what I stole.
easy_9,簡単な,This question is very easy.,"Love isn't easy, but I still tried."
important_9,重要な,English is an important subject.,The most important word I forgot was 'goodbye'.
join_9,参加する,I joined the basketball team.,Won’t you join me in this fading song?
hope_9,希望する,I hope everything goes well.,My hope dances on broken melodies.
agree_10,同意する,I agree with your opinion.,I always agree with the silence between us.
beautiful_10,美しい,She is a beautiful woman.,That beautiful lie still haunts my dreams.
create_10,創造する,Artists create something new.,Let’s create a future no one else imagined.
decide_10,決める,I decided to study abroad.,I decide to disappear before the dawn.
feel_10,感じる,I feel nervous before exams.,I feel your shadow even now.
give_10,与える,He gave me a present.,I can't give you back what I stole.
easy_10,簡単な,This question is very easy.,"Love isn't easy, but I still tried."
important_10,重要な,English is an important subject.,The most important word I forgot was 'goodbye'.
join_10,参加する,I joined the basketball team.,Won’t you join me in this fading song?
hope_10,希望する,I hope everything goes well.,My hope dances on broken melodies.
